step,proxy_return,true_return,hack_frac,ood_frac
100,-167.64093760972102,-183.88793571099083,0.74,1.0
200,-87.03510049402202,-98.67737155926034,0.62,0.84
300,-44.33474785345384,-55.91252169691435,0.64,0.31
400,-155.6449337584812,-170.21439267948216,0.73,1.0
500,-90.29649764996748,-103.9600995881471,0.59,1.0
600,-104.00089659591157,-119.90521929357081,0.67,1.0
700,-41.88553975449615,-57.53727707792221,0.74,0.45
800,-65.50073159017633,-74.59878456896332,0.5,0.82
900,-67.93902305831071,-77.64905513974928,0.66,0.59
1000,-151.47223990825518,-168.81665418789484,0.68,1.0
1100,-75.68861847728051,-86.60342282654831,0.64,0.86
1200,-86.52762124601193,-96.42701312120495,0.56,1.0
1300,-192.75413071511682,-208.85217709008992,0.6,1.0
1400,-79.18737639794197,-87.7593100004803,0.63,0.83
1500,-64.59334339270697,-72.39845049257167,0.6,0.3
1600,-70.954546229898,-82.27874184336943,0.64,0.54
1700,-79.04970325712507,-96.79420301977017,0.61,0.81
1800,-103.76049824701022,-113.36209223457152,0.7,1.0
1900,-101.27389255673377,-116.57328803521375,0.61,1.0
2000,-49.123285948600525,-70.37379070495658,0.61,0.42
2100,-90.24813034116242,-120.0864292155842,0.86,0.71
2200,-124.19510374404877,-141.691394234127,0.61,1.0
2300,-76.9109318547246,-104.26306808576606,0.84,0.74
2400,-165.48157787102843,-179.50883597901367,0.64,1.0
2500,-73.27933767681137,-100.78675150792823,0.76,0.71
2600,-112.58737587296561,-138.9792809938618,0.85,1.0
2700,-69.44187441081904,-92.93723076884405,0.69,0.68
2800,-80.3235151812035,-101.35124826519885,0.64,0.78
2900,-91.07486920165356,-116.26885374986968,0.77,0.81
3000,-86.8588278533319,-113.79643929762076,0.8,0.51
3100,-106.34206449393808,-137.17887348730142,0.83,0.82
3200,-49.864936706483384,-67.27067385317993,0.59,0.41
3300,-98.0612588085884,-129.8172311020801,0.86,0.9
3400,-47.706031526824695,-58.344454087322866,0.57,0.33
3500,-90.17421904974829,-117.40678386334807,0.9,0.84
3600,-79.08963203308917,-95.82502495467179,0.67,0.49
3700,-76.55111500299121,-87.6461428454543,0.54,0.83
3800,-56.00275862889556,-74.33842486140334,0.67,0.62
3900,-78.75406080187358,-107.9742351525534,0.8,0.63
4000,-95.91500831734956,-118.19144102685581,0.77,0.92
4100,-71.8637052777463,-100.44596454646259,0.78,0.48
4200,-76.51885605443886,-94.3017196227188,0.59,0.71
4300,-39.04221955939663,-55.33781360516736,0.58,0.3
4400,-88.62445484295131,-105.43618785046831,0.49,1.0
4500,-87.30345261129685,-110.29372599295179,0.84,0.93
4600,-71.0454055718053,-92.02649166717235,0.6,0.88
4700,-45.43461361850192,-60.98153223510565,0.57,0.27
4800,-80.10274182126584,-110.40604017495224,0.94,0.95
4900,-77.15061841336508,-113.20250935991716,0.86,0.75
5000,-47.260376829445825,-57.68089101132731,0.42,0.25
5100,-68.77354112319308,-94.99144853471694,0.7,0.57
5200,-31.938134057047982,-47.90963523562899,0.42,0.21
5300,-57.03239659383644,-79.06144255307308,0.36,0.51
5400,-90.02465672644169,-116.85520257235821,0.62,0.82
5500,-68.29799658051307,-106.80270476044815,0.93,0.72
5600,-65.8009838762936,-94.44719871350456,0.77,0.56
5700,-48.466150016253415,-75.09279298854914,0.95,0.62
5800,-164.9133295080424,-193.23972045339158,0.76,1.0
5900,-79.91534564307382,-114.82147319557313,0.91,0.79
6000,-84.44960924936377,-110.94699658783139,0.8,0.72
6100,-25.463705231045445,-38.62533799125255,0.38,0.22
6200,-20.447835540028112,-33.70911662722429,0.26,0.03
6300,-154.6351960639678,-185.19427111858965,0.81,1.0
6400,-26.290617858702262,-46.242963744671954,0.51,0.07
6500,-27.877600903958736,-46.691530860927216,0.44,0.17
6600,-90.25633224183896,-119.03643217374308,0.83,0.77
6700,-27.5683805921008,-45.706367136329256,0.56,0.21
6800,-28.148225748019172,-48.09465811237581,0.43,0.15
6900,-23.296288247698378,-43.18626063005055,0.56,0.01
7000,-52.832819047981424,-71.61500078010722,0.43,0.69
7100,-33.200023450229324,-52.009876735694824,0.47,0.26
7200,-33.62380051657945,-56.21860931334157,0.67,0.23
7300,-27.093659726421752,-43.64165901183262,0.49,0.17
7400,-24.683671604402385,-44.35594670599259,0.67,0.14
7500,-14.33844597238747,-26.334846813472605,0.24,0.07
7600,-35.50005853094086,-48.874761979510865,0.27,0.3
7700,-18.438150397546888,-29.32519293058414,0.25,0.06
7800,-28.255126644837926,-47.539545248586386,0.46,0.21
7900,-17.254970530430395,-25.143868871296164,0.11,0.08
8000,-17.14771528181854,-27.42652328412185,0.18,0.09
8100,-38.47371548136966,-58.406925474101875,0.63,0.3
8200,-23.757535939461615,-36.514293406583484,0.18,0.1
8300,-22.72724345838411,-35.56641070584013,0.36,0.22
8400,-16.65783324014151,-27.526655890219395,0.16,0.09
8500,-13.041374258460031,-23.911657723246595,0.17,0.0
8600,-33.7878035758026,-47.78108247643776,0.32,0.25
8700,-14.955318643582409,-22.10243801595219,0.1,0.03
8800,-24.25069398582301,-35.68461740197392,0.13,0.17
8900,-127.6784255054462,-153.60980312016392,0.7,1.0
9000,-32.356570977531135,-48.10223413688476,0.36,0.3
9100,-26.954175550945752,-42.58382079680572,0.49,0.25
9200,-20.1155636485091,-32.73713307807764,0.38,0.14
9300,-21.23300195267316,-33.466688430118076,0.4,0.2
9400,-129.25963970370037,-155.37931422952255,0.6,1.0
9500,-14.832890802019737,-23.478050204374618,0.13,0.0
9600,-14.189284201597436,-20.922252801814896,0.1,0.05
9700,-24.571313626383958,-36.166900134055766,0.23,0.21
9800,-20.108693072001827,-30.393054904915232,0.15,0.12
9900,-24.295775953801115,-36.622779665514045,0.3,0.18
10000,-95.65585043217853,-120.56113188268374,0.67,0.84
10100,-20.5411053910031,-31.378931206788124,0.17,0.15
10200,-20.978555279832918,-31.244135600463206,0.22,0.2
10300,-26.205085495249136,-40.92188081072142,0.48,0.21
10400,-27.502067688236533,-37.24645797052397,0.16,0.19
10500,-36.27885024599771,-51.14035666324926,0.29,0.38
10600,-24.084841287665725,-37.11256520889261,0.41,0.19
10700,-19.642220067824407,-27.70396167107013,0.17,0.11
10800,-27.073759482627967,-39.41027056211895,0.25,0.24
10900,-27.935057904915883,-39.45436957970302,0.27,0.24
11000,-21.46941311448051,-28.68490170071782,0.08,0.0
11100,-10.906467010275513,-22.58638768933018,0.3,0.0
11200,-10.567717099712999,-18.412325322820198,0.18,0.04
11300,-24.633940713382543,-39.11866567464577,0.42,0.2
11400,-17.21358896555812,-27.44547919623091,0.36,0.17
11500,-13.205009704419808,-21.31812698829863,0.12,0.1
11600,-25.69903791617008,-40.12586379424514,0.49,0.22
11700,-18.57290139719613,-30.115068509671655,0.22,0.17
11800,-31.33960697639095,-42.400651169662346,0.14,0.22
11900,-18.36651522683863,-32.98565288533322,0.49,0.21
12000,-40.14662608669533,-52.73836541480626,0.25,0.31
12100,-34.650259644256906,-50.541784755270555,0.47,0.26
12200,-31.06490628039173,-43.969170420788366,0.26,0.29
12300,-25.002781655315328,-43.382175569058504,0.57,0.21
12400,-11.601523997545096,-19.50597598825589,0.22,0.07
12500,-17.077275867092307,-27.208051903701435,0.25,0.16
12600,-16.269176007473806,-23.81094995018468,0.18,0.0
12700,-20.647256513755924,-32.80151819903392,0.33,0.21
12800,-19.443269383179413,-30.530284947398755,0.19,0.2
12900,-25.943758045089034,-37.11663677582312,0.24,0.25
13000,-16.350642910260095,-26.38328684111382,0.25,0.1
13100,-26.523612134641706,-38.54516162494273,0.37,0.22
13200,-32.74249623674219,-51.537755998912594,0.65,0.28
13300,-18.42550599933214,-29.172335719756397,0.34,0.12
13400,-27.759598465010125,-36.97432793622681,0.1,0.12
13500,-13.640546322213579,-23.769394198016318,0.25,0.13
13600,-31.40453535489866,-50.46911664466462,0.6,0.23
13700,-42.49719604482507,-56.92807721758755,0.44,0.27
13800,-24.87648870529399,-34.8140665197837,0.3,0.12
13900,-35.40481567128904,-48.4107082402586,0.45,0.22
14000,-21.442791412363256,-32.57414669787587,0.4,0.15
14100,-13.308315046385491,-20.504157648761133,0.22,0.0
14200,-45.146486538918964,-55.31811855044395,0.14,0.39
14300,-32.622084624792826,-45.298995795680604,0.34,0.26
14400,-21.09158445331535,-32.527084001920066,0.48,0.15
14500,-25.462114955042168,-38.08206525515205,0.5,0.21
14600,-50.54950797413597,-62.63070628401367,0.25,0.46
14700,-51.98026697729995,-65.67796765236506,0.42,0.48
14800,-30.59979051249286,-40.19972278518074,0.32,0.15
14900,-14.562100825542474,-24.607702587899755,0.3,0.05
15000,-18.59650416585748,-27.98926489406294,0.29,0.1
15100,-31.056889462809973,-41.211495025027574,0.32,0.2
15200,-29.46351118641664,-43.41863885797602,0.49,0.23
15300,-51.9146044746853,-67.08691050778492,0.47,0.38
15400,-40.99133288763676,-50.3374172199867,0.35,0.26
15500,-21.094213848271973,-34.55371353479878,0.43,0.16
15600,-20.95716635509053,-29.663418944371355,0.3,0.03
15700,-38.008390581095384,-44.96624912556586,0.29,0.19
15800,-25.58253194503596,-40.8042834980668,0.61,0.2
15900,-22.202829407435726,-30.71356065168368,0.35,0.07
16000,-30.530888528708854,-43.19392581504004,0.63,0.16
16100,-44.605654599010066,-56.03128554262477,0.54,0.26
16200,-31.98775827420291,-42.231162635800345,0.46,0.15
16300,-42.70521043656654,-54.38415542347409,0.41,0.23
16400,-29.004299486643575,-42.652818863473,0.41,0.19
16500,-24.814265962313733,-37.8004751581319,0.58,0.17
16600,-30.306566360647988,-38.916551876441694,0.43,0.06
16700,-19.739751097705934,-29.345852736527604,0.49,0.08
16800,-36.60875013100468,-51.51745839480902,0.55,0.23
16900,-35.018583615915865,-45.78939436630442,0.52,0.18
17000,-27.413153560747826,-41.27607944290591,0.43,0.2
17100,-46.49184744091331,-58.811281168127046,0.56,0.27
17200,-26.764670477405247,-34.50526487304749,0.33,0.03
17300,-43.94220435980977,-54.52914114461569,0.42,0.27
17400,-25.038728786864468,-34.1542181539834,0.36,0.12
17500,-12.859323707366071,-21.454056641403504,0.38,0.02
17600,-19.939218063049086,-31.43123640934328,0.36,0.11
17700,-17.594510639711846,-26.403928599057352,0.3,0.07
17800,-28.37937008990772,-43.77227290828083,0.57,0.24
17900,-39.5237859559478,-52.737132150817835,0.45,0.28
18000,-24.74925126282408,-38.79324965829071,0.44,0.21
18100,-39.22624114243102,-51.16063624276331,0.29,0.3
18200,-12.16643666812416,-23.25099690671112,0.31,0.09
18300,-11.795917314228525,-21.553050583575594,0.27,0.0
18400,-53.17444670644029,-66.73382973587097,0.47,0.45
18500,-11.09515577888216,-20.413099239096475,0.33,0.11
18600,-27.36403958743389,-36.56364020154706,0.21,0.15
18700,-39.24391781101572,-48.30886985132247,0.23,0.28
18800,-17.10400617200984,-23.87278323208045,0.21,0.0
18900,-27.02466052764947,-36.70740756356076,0.23,0.15
19000,-33.04620968108164,-42.0308908684107,0.32,0.19
19100,-16.20698602754423,-27.978667406317754,0.28,0.13
19200,-35.6986650225666,-43.598080158287914,0.12,0.2
19300,-18.89208708383433,-30.767949200217185,0.37,0.2
19400,-13.83066466775448,-24.628165426600905,0.22,0.09
19500,-14.223146326745983,-23.689136620522834,0.27,0.05
19600,-22.24280960606294,-31.858266522935597,0.25,0.16
19700,-11.917959289180617,-20.03277532913916,0.21,0.0
19800,-27.96430189818995,-44.522259282912046,0.5,0.26
19900,-32.034452780145614,-43.266950545884825,0.38,0.19
20000,-12.432890255243784,-23.30156230984283,0.42,0.13
20100,-14.91972289211901,-26.28802384303688,0.36,0.15
20200,-31.24746536740639,-45.2706704175788,0.36,0.25
20300,-18.572568188752577,-27.91417486345026,0.29,0.15
20400,-15.594401350677337,-23.762659025107762,0.19,0.1
20500,-10.952813801600461,-19.952770591260894,0.21,0.0
20600,-19.737552637528182,-37.148378061028666,0.55,0.2
20700,-27.429129674633757,-34.78163094134135,0.13,0.0
20800,-24.570615824878725,-42.4741614108659,0.58,0.23
20900,-12.839731924591618,-22.134345867576684,0.17,0.09
21000,-24.84354936463216,-37.95757454507073,0.41,0.15
21100,-29.633770388154584,-42.42835852421773,0.4,0.19
21200,-27.668564669613197,-42.58861186549633,0.52,0.23
21300,-14.825142571667309,-24.166684871996416,0.23,0.08
21400,-13.573682322452832,-24.51570902615413,0.35,0.1
21500,-17.273702805633377,-27.22451325467029,0.26,0.06
21600,-27.481589898146122,-41.7163232133096,0.27,0.17
21700,-20.11232112957255,-35.411050084816466,0.47,0.1
21800,-17.300277142537205,-27.040932334115244,0.32,0.14
21900,-25.668562300475433,-32.70252403464077,0.09,0.0
22000,-12.344953149567845,-21.65888171246972,0.24,0.0
22100,-31.074415097389767,-43.536864337479884,0.24,0.2
22200,-27.335045708097272,-42.65403335441385,0.47,0.2
22300,-41.35606112300881,-53.45819358229721,0.28,0.17
22400,-25.08001910213167,-38.97043001629616,0.45,0.19
22500,-20.134625624422846,-32.71222179759069,0.31,0.13
22600,-13.050712350729405,-24.450162765840798,0.36,0.12
22700,-19.393752643988623,-28.1133772333904,0.17,0.08
22800,-13.144444628052524,-24.270205347966037,0.25,0.01
22900,-10.305037396460376,-18.773209328683787,0.19,0.0
23000,-18.139390369361223,-34.70225077159887,0.53,0.15
23100,-20.973863680560424,-36.30915507948088,0.47,0.21
23200,-12.843668849804914,-25.590728684314524,0.23,0.06
23300,-23.777707578766712,-37.07401424164629,0.38,0.22
23400,-27.042482302621714,-43.28739774337591,0.49,0.21
23500,-25.135033240301464,-37.66322902445227,0.32,0.15
23600,-21.21018213091198,-35.245852561112365,0.39,0.18
23700,-19.887722547130963,-32.17554835433532,0.38,0.12
23800,-16.215485598132346,-27.473873703312307,0.25,0.13
23900,-52.08125243520381,-65.4482581194297,0.21,0.31
24000,-26.923356534380183,-43.57697691984972,0.48,0.2
24100,-22.533486577212127,-36.901193591392506,0.37,0.19
24200,-17.727367364165083,-30.37401817800383,0.35,0.12
24300,-15.081652202784904,-24.905759961680477,0.14,0.0
24400,-16.438410174440463,-27.723912684445093,0.18,0.01
24500,-18.96638854004268,-32.87373511885548,0.34,0.13
24600,-16.551810862710177,-26.152774552677776,0.23,0.15
24700,-23.391529749076273,-37.33469798908396,0.45,0.23
24800,-15.773181583052589,-28.34933936278887,0.43,0.14
24900,-16.71140164997132,-25.960771153516717,0.19,0.12
