step,proxy_return,true_return,hack_frac,ood_frac
100,-25.61207614094019,-118.85813921532106,0.61,1.0
200,-27.274334222078323,-91.29459846758915,0.66,0.78
300,-20.236823111772537,-101.36296345621837,0.7,1.0
400,-27.55054020881653,-94.80385222171147,0.65,1.0
500,-21.562369883060455,-119.23094481425967,0.65,1.0
600,-22.627507638186216,-97.65570628469818,0.76,0.78
700,-18.803658965975046,-83.54733977965303,0.64,0.94
800,-21.443854961544275,-81.14324300485771,0.68,0.58
900,-33.61886155605316,-171.47365666791077,0.66,1.0
1000,-35.78137928247452,-133.91780042359727,0.61,1.0
1100,-19.659497119486332,-98.95636505514399,0.66,1.0
1200,-21.88763839006424,-78.3066121938709,0.63,1.0
1300,-45.53750732541084,-200.10883759436385,0.76,1.0
1400,-29.527859292924404,-111.78459413859149,0.74,0.73
1500,-24.262082271277905,-112.36824969986364,0.81,0.97
1600,-37.887658193707466,-171.537470452941,0.74,1.0
1700,-35.74166285991669,-158.10272597066805,0.82,0.92
1800,-51.89555984735489,-193.80137542386734,0.78,1.0
1900,-22.18756613507867,-100.75181769520348,0.76,0.7
2000,-27.088558800518513,-117.8643360498224,0.6,1.0
2100,-41.90325941890478,-157.05408010749397,0.7,1.0
2200,-28.421161863021553,-134.15679224664723,0.74,0.71
2300,-51.80396819114685,-188.99559450474095,0.65,1.0
2400,-17.2661151047796,-61.39515130319896,0.57,0.3
2500,-33.35552901029587,-149.2925705105917,0.64,1.0
2600,-23.106242552399635,-110.1271039732655,0.7,1.0
2700,-28.88004432618618,-117.5545630090346,0.76,1.0
2800,-50.15583470463753,-185.6915050235316,0.68,1.0
2900,-37.103332221508026,-137.97889774223148,0.63,1.0
3000,-14.253690830839332,-70.00492087117759,0.56,0.56
3100,-36.35435786098242,-155.6255619966547,0.73,1.0
3200,-43.36667497456074,-187.33375210342652,0.62,1.0
3300,-29.029428854584694,-130.92468977640078,0.64,1.0
3400,-31.338546752929688,-126.63507966548664,0.63,1.0
3500,-26.0573341101408,-107.46098936202914,0.52,1.0
3600,-19.215698197484016,-94.75186603854903,0.62,0.64
3700,-22.004570923745632,-80.84882984897699,0.62,0.56
3800,-27.746286295354366,-126.52545597945445,0.44,1.0
