step,proxy_return,true_return,hack_frac,ood_frac
100,-32.13364824652672,-159.00667509419833,0.63,1.0
200,-34.12730299681425,-162.17889807099385,0.67,1.0
300,-4.79034180304734,-73.96019794721467,0.63,0.46
400,-38.33233068883419,-142.1197521199128,0.68,1.0
500,-0.971699845045805,-83.14815312403496,0.72,0.45
600,-31.223295029252768,-137.24676647736138,0.63,1.0
700,-21.319981890090276,-116.63997581590776,0.59,0.8
800,-9.677285961806774,-55.70884419817183,0.67,0.3
900,-15.327678847475909,-124.90784225472031,0.7,1.0
1000,-43.83702352643013,-140.82690086480727,0.7,1.0
1100,-10.463950420264155,-97.11107884653559,0.84,0.67
1200,-2.6706111680250615,-57.55199360497552,0.61,0.28
1300,-1.57198829902336,-92.41421150939689,0.78,0.43
1400,-11.387361174216494,-86.08813774920559,0.73,0.62
1500,-14.747136653255438,-198.27894545898428,0.77,1.0
1600,-21.536360609112307,-142.9268061054789,0.64,1.0
1700,-8.243664697860368,-174.17293061184395,0.79,0.9
1800,-33.48329983372241,-180.42014686321068,0.63,1.0
1900,-16.251167689450085,-221.19067343057836,0.83,1.0
2000,-8.474687482696027,-132.34582361626948,0.72,0.69
2100,-21.409405585960485,-240.56460554398768,0.87,1.0
2200,-8.604557263664901,-163.61132914958168,0.76,1.0
2300,-27.700471478747204,-135.76826312539026,0.93,0.94
2400,0.9434006497031078,-82.08740707788996,0.67,0.64
2500,-21.802791482728935,-229.18560770076337,0.84,1.0
2600,-9.954619720811024,-169.15793098936228,0.86,1.0
2700,-15.64669448765926,-221.74574819359307,0.84,1.0
2800,-17.119938617222942,-220.08488108397765,0.82,1.0
2900,-15.358654127863701,-203.9118464126929,0.74,1.0
3000,-13.7426895009703,-186.21484831989426,0.85,1.0
3100,-7.716119415745197,-113.27090263438635,0.93,0.72
3200,-12.779856904700864,-197.7947943743045,0.85,1.0
3300,-5.10170470130106,-118.48891208632638,0.95,0.66
3400,-24.78500116011128,-149.58542814736032,0.73,1.0
3500,-12.31882558669895,-127.46311376050521,0.84,1.0
3600,-8.560158241481986,-127.79999674133198,0.98,0.75
3700,-18.11268729052972,-153.2304951612319,0.95,1.0
3800,-4.054685075418092,-107.33786720174257,0.93,0.65
3900,-16.408307664096355,-245.3761401802832,0.9,1.0
4000,0.25873329888054286,-80.11209049376286,0.62,0.78
4100,-23.00746266054921,-255.77477951662527,0.84,1.0
4200,-18.278059841832146,-253.51673768242597,0.85,1.0
4300,-7.631569757591933,-155.94245822029265,0.8,0.61
4400,-17.7338603194803,-255.2340898659779,0.93,1.0
4500,-12.64809583715396,-204.4711242668697,0.81,1.0
4600,-19.867918452247977,-263.6593028366889,0.85,1.0
4700,-12.931343268952332,-210.9602289986939,0.88,1.0
4800,-12.162393312435597,-201.71562876802943,0.77,1.0
4900,-12.254117497825064,-196.57789521604994,0.84,0.73
5000,-13.004011075303424,-212.17205682439294,0.88,1.0
5100,-21.997543524412322,-244.26409029157855,0.79,1.0
5200,-3.6258431461756118,-126.17794531598385,0.88,0.62
5300,-4.302836858900264,-135.20379972363259,0.96,0.73
5400,-6.583045218460029,-156.87534019542517,0.81,0.58
5500,-14.785343687515706,-221.02005359133102,0.82,1.0
5600,1.0894294927129522,-109.14003712901126,0.67,0.71
5700,-3.8057682351209223,-141.5165747251138,0.74,0.73
5800,-11.27223356347531,-214.433268012039,0.87,1.0
5900,-7.697346129483776,-162.76374863087236,0.84,0.65
6000,-2.4482899339636788,-120.00546606013201,0.7,0.67
6100,-10.139639076311141,-184.87715401396332,0.72,0.92
6200,-5.0640429485356435,-170.12749700085413,0.87,0.92
6300,-1.5213492214679718,-125.91098720819028,0.82,0.56
6400,0.27967318519949913,-85.80978323984827,0.6,0.65
6500,-16.073185069020838,-227.56766700276265,0.84,1.0
6600,-8.987527420627885,-183.12516037041271,0.88,0.79
