step,proxy_return,true_return,hack_frac,ood_frac
100,-51.965207278728485,-67.93505688358768,0.69,0.49
200,-143.40082973241806,-160.10514636465223,0.64,1.0
300,-182.44593513011932,-180.30770597692484,0.65,1.0
400,-119.21293294429779,-134.34457083157344,0.7,1.0
500,-142.91396002471447,-158.59833071626986,0.72,1.0
600,-64.90283405780792,-85.1445570487496,0.74,0.94
700,-60.67757727205753,-84.41640629921856,0.66,0.8
800,-142.74140906333923,-143.8486669620601,0.68,1.0
900,-97.81533229351044,-106.15284149920622,0.74,1.0
1000,-94.54960469901562,-106.30027847388249,0.65,1.0
1100,-136.48472201824188,-146.3290989407688,0.63,1.0
1200,-65.69318829476833,-96.425117841043,0.77,0.58
1300,-59.97856595739722,-93.0097716576069,0.56,0.5
1400,-63.12357670068741,-93.52608208310694,0.6,1.0
1500,-75.72782704234123,-114.51492389735779,0.8,0.94
1600,-125.02068728208542,-148.51905934525965,0.65,1.0
1700,-62.49541989341378,-96.54115878494784,0.58,0.64
1800,-55.74067804031074,-84.85639637789659,0.43,0.55
1900,-74.0206196308136,-88.59118166718264,0.6,0.62
2000,-47.55023780465126,-80.90323852929885,0.35,0.96
2100,-30.0887373611331,-66.07836373681853,0.32,0.0
2200,-82.41634722054005,-111.0454149883333,0.79,0.81
2300,-77.62384255230427,-112.19220273986413,0.84,0.74
2400,-70.18298126012087,-104.28610867288872,0.79,0.66
2500,-71.94547359645367,-107.30551733693281,0.65,0.51
2600,-41.60311942372937,-73.81657857424028,0.3,0.46
2700,-83.84606167674065,-118.0497526454187,0.67,1.0
2800,-94.64305281639099,-127.82255323715715,0.58,1.0
2900,-69.76372139155865,-104.69080967123139,0.56,0.85
3000,-41.66695832181722,-74.79655638704143,0.41,0.57
3100,-74.13301368057728,-111.97416589666653,0.73,0.85
3200,-46.06538236141205,-80.34083480748198,0.32,0.6
3300,-85.31710475683212,-121.20686079942665,0.59,1.0
3400,-80.31656104326248,-108.55068911229228,0.47,1.0
3500,-66.48655109107494,-103.48226197866319,0.53,0.83
3600,-46.9983674287796,-83.11032186048052,0.3,1.0
3700,-55.574633760377765,-93.67069446521757,0.55,0.63
3800,-63.55694106966257,-98.54767618075324,0.48,0.82
3900,-73.01218008995056,-102.54861017646111,0.25,1.0
4000,-43.804603546857834,-79.73918557883978,0.27,0.7
4100,-33.77612320124172,-67.08145691519593,0.39,0.5
4200,-78.27811163663864,-114.78102379000684,0.54,0.99
4300,-52.75222960114479,-88.10472496997588,0.32,0.83
4400,-27.08576112682931,-65.30928644700853,0.33,0.51
4500,-85.7920458316803,-112.68601386056866,0.22,1.0
4600,-73.44149035215378,-106.34381999772812,0.33,1.0
4700,-30.165090724709444,-68.45605407714125,0.36,0.59
4800,-50.02323503047228,-82.05343887519886,0.16,0.53
4900,-117.98111975193024,-113.17269242512819,0.4,1.0
5000,-38.701766550540924,-76.2790470755359,0.21,0.49
5100,-22.713213249728142,-62.406817974786335,0.28,0.57
5200,-104.01801598072052,-139.4509290730113,0.69,1.0
5300,-54.26935139298439,-91.45257190478407,0.68,0.93
5400,-44.92609857581556,-70.07787716254124,0.21,0.35
5500,-69.5661116540432,-98.513983697992,0.16,0.73
5600,-91.28071820735931,-113.85835071199092,0.05,0.95
5700,-28.886496394872665,-66.31413150808343,0.23,0.27
5800,-29.810581773519516,-68.70680431021351,0.24,0.58
5900,-44.57894089072943,-82.76772261325861,0.69,0.68
6000,-59.41038392484188,-90.02986522695846,0.25,0.91
6100,-55.52383944392204,-89.2328618331486,0.3,0.89
6200,-28.580065954476595,-65.37740831139284,0.04,0.32
6300,-22.28535812914197,-54.188204562104815,0.33,0.23
6400,-26.3712175826804,-61.66639716206458,0.11,0.33
6500,-40.68559905141592,-75.3709536312809,0.18,0.69
6600,-16.019948321787524,-54.58530651005164,0.1,0.2
6700,-13.501281596967601,-52.228540506346015,0.1,0.18
6800,-18.571909215359483,-54.160611070865244,0.08,0.19
6900,-15.312705710530281,-55.69427803817312,0.05,0.12
7000,-20.79658187739551,-54.24261314896316,0.38,0.21
7100,-42.72323299944401,-78.3488406685374,0.18,0.73
7200,-52.84473180770874,-90.50752485731823,0.53,0.9
7300,-14.013668217347004,-54.39193553424124,0.27,0.2
7400,-11.054230294932495,-47.29331995458769,0.06,0.19
7500,-41.94448233395815,-80.810857157945,0.37,0.7
7600,-4.405332555761561,-43.32332115509421,0.05,0.0
7700,-18.899024111393373,-51.476737870356075,0.22,0.19
7800,-25.070029648020864,-66.48987294323399,0.14,0.23
7900,-15.182380202924833,-51.61792112136266,0.07,0.19
8000,-71.00685292482376,-99.41964512127474,0.03,1.0
8100,-1.902008950826712,-44.29158975698305,0.03,0.02
8200,-80.52226054668427,-105.51358255687994,0.03,1.0
8300,-200.98395264148712,-203.5125222897303,0.65,1.0
8400,-29.335967464838177,-60.038765295821904,0.12,0.34
8500,-27.40304408967495,-68.33090544656778,0.1,0.33
8600,-36.423477940261364,-73.22822500091765,0.04,0.57
8700,-15.63105263246689,-55.42069977063382,0.05,0.19
8800,-4.961143536682357,-44.503424551576444,0.08,0.18
8900,-17.305545831099153,-58.581280055123266,0.13,0.16
9000,-189.36692810058594,-215.23685133066675,0.75,1.0
9100,-15.13385990075767,-56.8958214299097,0.06,0.21
9200,4.964416763745248,-32.69831858242918,0.01,0.0
9300,-21.867013217881322,-63.09236503703085,0.06,0.27
9400,-15.097739062737674,-55.07580666545515,0.05,0.21
9500,-14.4886366778519,-56.40395062688292,0.1,0.16
9600,-14.03450071439147,-53.823704289784054,0.03,0.04
9700,-5.364424856030382,-46.90724609089823,0.04,0.12
9800,-31.20515362173319,-72.82239798882877,0.32,0.34
9900,-27.23858878016472,-68.19530214318183,0.15,0.34
10000,-46.97860786318779,-83.56099612093185,0.13,0.85
10100,-23.04657769948244,-62.820521652800586,0.03,0.0
10200,-31.876163721084595,-73.5900312679559,0.34,0.68
10300,-51.63720225542784,-82.98529329708053,0.08,0.71
10400,-33.67958202213049,-70.46314263150364,0.06,0.56
10500,-90.72611105442047,-108.45689816822589,0.0,1.0
10600,-42.39683686196804,-81.94126074216831,0.3,0.91
10700,-22.368255723267794,-61.94701755515857,0.03,0.29
10800,-56.58881303668022,-88.1187660768783,0.06,0.79
10900,-30.533978417515755,-68.01513756742023,0.06,0.52
11000,-6.3502140433265595,-48.555031682440784,0.04,0.08
11100,-16.434740867465734,-57.78745428998466,0.04,0.13
11200,6.556894356384873,-28.362922342251757,0.03,0.03
11300,-7.12955040554516,-38.763312384649076,0.19,0.16
11400,6.6603911484126,-28.86340320826385,0.04,0.06
11500,-51.78608238697052,-85.10403665558005,0.03,0.98
11600,-36.490521997213364,-72.55983148433499,0.04,0.51
11700,-5.30742937551986,-46.83186953262114,0.02,0.0
11800,5.587889649439603,-26.579635908890467,0.08,0.0
11900,-14.235929268819746,-55.47215354646965,0.31,0.19
12000,-33.56148486584425,-74.48045915545717,0.35,0.38
12100,-23.687776181846857,-64.92631308047002,0.16,0.22
12200,-1.6831072219356429,-36.84562624056677,0.1,0.11
12300,-15.895454164710827,-55.46250213080344,0.34,0.21
12400,-17.060748800635338,-57.80224137456298,0.05,0.0
12500,-14.599067280068994,-55.21204740008891,0.01,0.05
12600,-2.335135718283709,-43.624560989420544,0.06,0.09
12700,-43.58507978916168,-80.78104325318131,0.07,0.9
12800,-22.720225512981415,-63.50260797274719,0.02,0.74
12900,-12.153954070759937,-43.827866420672045,0.34,0.16
13000,-21.849977158010006,-62.36103417640955,0.08,0.58
13100,-12.427112253102678,-50.880570327980095,0.37,0.19
13200,-6.599071848904714,-45.83576586160729,0.06,0.2
13300,-22.15152634680271,-62.299495965024434,0.02,0.42
13400,-33.31145918369293,-75.03672989252868,0.33,0.72
13500,-156.69110465049744,-157.2348254239246,0.09,1.0
13600,-31.361892327666283,-73.36392353377776,0.42,0.59
13700,-27.673994958400726,-67.09548892082205,0.07,0.35
13800,-40.675512321293354,-74.14244865685482,0.11,0.41
13900,-155.30675595998764,-167.6051976761998,0.09,1.0
14000,6.900813116226345,-25.872677685288608,0.04,0.0
14100,-12.612015672959387,-53.33025113142622,0.04,0.0
14200,-29.834132626652718,-69.33869726902877,0.07,0.73
14300,-23.458497051149607,-61.82617938714795,0.13,0.57
14400,-134.65786635875702,-149.76834058917652,0.04,1.0
14500,-28.541991725564003,-66.59922700687633,0.11,0.65
14600,-37.80378068983555,-73.38411664852411,0.11,0.47
14700,-32.60066078603268,-70.51391917970902,0.14,0.73
14800,-15.288188710808754,-55.962439216716945,0.26,0.2
