step,proxy_return,true_return,hack_frac,ood_frac
100,-52.657219607713515,-67.93505688358768,0.69,0.49
200,-141.16499729447037,-160.10514636465223,0.64,1.0
300,-164.9127962568651,-180.30770597692484,0.65,1.0
400,-123.44947480742312,-134.34457083157344,0.7,1.0
500,-135.1554368768328,-158.59833071626986,0.72,1.0
600,-75.59201411233973,-85.1445570487496,0.74,0.94
700,-68.96267908774288,-84.41640629921856,0.66,0.8
800,-125.32796347831844,-143.8486669620601,0.68,1.0
900,-90.45001629231942,-106.15284149920622,0.74,1.0
1000,-92.51876102887695,-106.30027847388249,0.65,1.0
1100,-135.18309102267946,-146.22900923456436,0.63,1.0
1200,-65.70894039789883,-77.91972686452858,0.58,0.59
1300,-43.76792648674609,-54.054799550682056,0.64,0.0
1400,-90.98545444778114,-102.84231604869801,0.63,1.0
1500,-112.4900812802222,-122.26386782364455,0.65,1.0
1600,-104.09304097766515,-118.1255719056627,0.62,1.0
1700,-48.29272229346813,-60.14770982352578,0.61,0.25
1800,-68.1873221407101,-83.27298942504439,0.55,0.59
1900,-112.19059975514325,-140.34119043589362,0.87,1.0
2000,-75.1703586954045,-85.53937657746097,0.66,1.0
2100,-36.505658156961175,-52.66677235184688,0.54,0.02
2200,-105.81938480323198,-118.89274845545565,0.76,1.0
2300,-131.68217886092697,-152.13150257734006,0.72,1.0
2400,-44.3174625880099,-64.07203956036261,0.69,0.51
2500,-111.14855833682427,-129.6936881610189,0.67,0.89
2600,-50.187331305075936,-68.10472582809956,0.69,0.46
2700,-170.00447392904027,-193.46552344546188,0.73,1.0
2800,-185.64854885495035,-210.69899179888571,0.87,1.0
2900,-154.35264310493974,-174.88493245734466,0.7,1.0
3000,-35.390300841399,-49.28475222603106,0.48,0.17
3100,-163.29027060843407,-179.49298361218268,0.66,1.0
3200,-54.33767787716139,-74.44297618473513,0.53,0.52
3300,-221.18018521286137,-237.96469765362485,0.67,1.0
3400,-55.754006221933736,-74.0408258054449,0.52,0.43
3500,-127.96899092328886,-144.4096986445871,0.64,1.0
3600,-83.80823151749725,-111.59121843097701,0.75,0.85
3700,-78.51776507432623,-93.90670011659942,0.6,0.88
3800,-175.79486913196988,-194.40226758283052,0.77,1.0
3900,-159.67296134382437,-188.38481648715475,0.8,1.0
4000,-43.716449777909126,-62.736565512503226,0.31,0.4
4100,-43.58115252780652,-62.166968410412196,0.54,0.4
4200,-111.1494717934389,-127.46372009731166,0.6,1.0
4300,-50.48943437024616,-69.46372510848775,0.43,0.48
4400,-52.69565863163464,-64.78111494942486,0.39,0.4
4500,-175.12659957481597,-200.2063826597627,0.72,1.0
4600,-177.59479520227825,-195.89929338397852,0.73,1.0
4700,-65.28155571981728,-81.96252976293947,0.35,0.73
4800,-75.57539924718365,-87.74151564228714,0.32,0.72
4900,-177.09742857092266,-207.06800050951577,0.86,1.0
5000,-49.55963024570069,-71.2362261207014,0.37,0.58
5100,-59.649015182940865,-74.76542322602798,0.34,0.67
5200,-193.1273569810913,-208.69026321461087,0.62,1.0
5300,-167.17839452864632,-184.480817879328,0.68,1.0
5400,-91.81680802675352,-121.21274424037297,0.75,0.77
5500,-46.93363878228777,-64.29707021151653,0.32,0.41
5600,-59.44962932442104,-80.53260292320859,0.42,0.55
5700,-139.87109349984632,-161.68397183592762,0.53,1.0
5800,-112.18202427352652,-125.88870355046303,0.51,0.95
5900,-79.48000190970698,-101.51780593878628,0.64,0.74
