step,proxy_return,true_return,hack_frac,ood_frac
100,-81.41119129229203,-98.2380030803409,0.73,0.83
200,-133.61192607927777,-145.40778566446,0.67,1.0
300,-79.00835741268287,-89.06574852752024,0.61,1.0
400,-89.53970657726589,-102.36975983715776,0.68,0.63
500,-149.91246089330437,-167.90904816770075,0.63,1.0
600,-42.15964288407788,-62.57269437609527,0.63,0.21
700,-63.83127461753625,-77.81821606116013,0.66,0.7
800,-62.14871226331142,-71.25510569764279,0.65,0.52
900,-132.7422961721808,-143.31655680395463,0.71,1.0
1000,-63.381668622010814,-77.06543265364022,0.65,0.58
1100,-104.14498222501722,-115.21864015135937,0.68,1.0
1200,-108.78187297162596,-123.6088838330477,0.59,1.0
1300,-125.12487277139536,-140.09456092058568,0.53,1.0
1400,-110.52586235056361,-124.50193534270385,0.56,1.0
1500,-96.89574004430195,-114.89985374901732,0.56,0.97
1600,-74.69416686784933,-84.45907095919901,0.67,1.0
1700,-83.09927380441282,-92.78585686643683,0.59,0.92
1800,-124.8023796077215,-146.72725808922567,0.67,1.0
1900,-172.2425871032119,-190.50305296361586,0.67,1.0
2000,-128.97978975078797,-153.987834196182,0.82,1.0
2100,-99.4259489031781,-115.81613877115272,0.61,0.78
2200,-70.9802603951713,-87.22289648465774,0.56,0.66
2300,-71.11253704252861,-90.2300157016148,0.65,0.77
2400,-114.46801574080799,-124.33106691582378,0.58,1.0
2500,-68.53272795886564,-96.62285166732853,0.82,0.64
2600,-48.72402584350208,-68.85689618627747,0.68,0.28
2700,-107.97041942951365,-120.60675559885378,0.64,1.0
2800,-76.56945923427347,-102.84989066921509,0.81,0.49
2900,-193.5721710756877,-213.46266172025867,0.58,1.0
3000,-53.538306474856086,-73.25194119509267,0.49,0.55
3100,-82.11673422218848,-106.35394738238601,0.73,0.79
3200,-71.74462927193571,-83.57613641101518,0.58,0.85
3300,-64.92488346501165,-84.0514262298681,0.48,0.62
3400,-177.95508935727364,-197.27326696213365,0.73,1.0
3500,-80.13829084389263,-102.17319936116913,0.61,0.5
3600,-61.362789413418774,-76.0516994689903,0.58,0.45
3700,-157.18579195490508,-173.138244696601,0.45,1.0
3800,-73.70552632264445,-99.08882642568581,0.79,0.75
3900,-124.63847536846696,-149.8612364088345,0.67,0.99
4000,-73.22554634478493,-95.59659569768407,0.53,0.64
4100,-101.62376596648294,-135.30161745397226,0.94,1.0
4200,-68.25983757816881,-94.18851442711033,0.71,0.64
4300,-80.91596059194279,-95.140158434172,0.64,1.0
4400,-65.60414010722806,-82.00543624927235,0.5,0.52
4500,-75.87719030977155,-87.05489910651127,0.49,0.8
4600,-83.47812465197003,-111.25510187598272,0.73,0.74
4700,-55.02209857165915,-69.12230512332813,0.52,0.58
4800,-158.24105979367272,-175.95975060567415,0.26,1.0
4900,-82.58069505795524,-95.99843383599284,0.34,0.79
5000,-77.09766310838202,-101.66261574550475,0.68,0.72
5100,-70.12394052174818,-92.83103266143453,0.64,0.66
5200,-72.23383856906456,-90.14908530761521,0.51,0.72
5300,-114.53715153938667,-149.6042986717328,0.97,1.0
5400,-80.41380084432424,-106.82723735790927,0.68,0.7
5500,-52.2373479646102,-74.68149402789857,0.76,0.62
5600,-85.73384746902462,-114.46219017623477,0.8,0.73
5700,-59.02326048180662,-78.66896206514703,0.63,0.63
5800,-186.65009840525855,-197.13786781568683,0.08,1.0
5900,-169.6858513247958,-178.82918461249372,0.05,1.0
6000,-44.889173326674815,-70.10068838334332,0.82,0.36
6100,-28.856333018613608,-36.13124521614638,0.22,0.0
6200,-40.34836853498102,-49.74259841185677,0.28,0.41
6300,-71.73371153492225,-106.20380257869243,0.98,0.7
6400,-54.08987507164781,-73.1746711471384,0.58,0.63
6500,-15.915004533600774,-27.326879458091852,0.27,0.04
6600,-24.911528712642145,-48.04107466091681,0.73,0.15
6700,-29.209022194767257,-51.81406614394133,0.68,0.28
6800,-34.87771796192486,-54.905685611002035,0.49,0.34
6900,-79.75736317697078,-104.63444055686928,0.52,0.72
7000,-41.25087617076477,-60.809550111501416,0.55,0.45
7100,-183.72055262229554,-194.47849799946619,0.25,1.0
7200,-12.701844020077164,-26.78775284842532,0.48,0.0
7300,-20.533180697486426,-36.24809208055745,0.45,0.02
7400,-25.327317809399027,-49.963859764918155,0.83,0.28
7500,-22.24404391819641,-45.28329478564437,0.73,0.2
7600,-47.789288392037605,-69.95232051047729,0.7,0.53
7700,-19.58454648093751,-36.418529401261985,0.54,0.06
7800,-27.788264684995337,-35.04731100331376,0.04,0.27
7900,-21.652310481185168,-40.781477327062916,0.55,0.08
8000,-15.004195632789067,-30.15773407219394,0.42,0.14
8100,-14.636252855600876,-32.81393431694851,0.52,0.12
8200,-39.58067954186687,-59.15018724583476,0.63,0.44
8300,-27.372336769712692,-46.548702049036265,0.62,0.17
8400,-22.465426379291355,-39.906643980541006,0.39,0.0
8500,-142.7191621981407,-153.47248771106237,0.01,1.0
8600,-183.8377092969621,-196.0308816056028,0.03,1.0
8700,-15.39286631823363,-28.96104278815081,0.41,0.08
8800,-16.095957913602692,-30.780959343497212,0.47,0.14
8900,-17.363272893729246,-32.55454474861208,0.48,0.15
9000,-19.116659550257666,-27.485637164453507,0.09,0.17
9100,-39.43618151710243,-61.11503699484352,0.61,0.33
9200,-24.25722840613208,-41.44416484324165,0.54,0.19
9300,-20.802584948247862,-39.819267037709594,0.65,0.16
9400,-14.009772866274988,-21.11625439355019,0.07,0.0
9500,-24.289914651982702,-41.77380233707444,0.55,0.12
9600,-30.25913894733946,-47.42542606374678,0.34,0.25
9700,-33.01803135786681,-54.65885490226909,0.68,0.33
9800,-32.65897231312736,-50.33765126929891,0.31,0.26
9900,-44.34626761606953,-64.991742629271,0.68,0.28
10000,-21.374851601794635,-37.385623186890584,0.52,0.23
10100,-28.043748340719798,-43.618319503076414,0.33,0.14
10200,-23.315504108020665,-30.643925777043634,0.08,0.15
10300,-40.07146659342831,-61.18777876850662,0.55,0.44
10400,-23.515341764897034,-38.96010508447794,0.29,0.17
10500,-24.64624876379762,-38.93939962723812,0.36,0.16
10600,-26.464141053270218,-42.41251393094554,0.46,0.22
10700,-30.7704213564111,-48.836783190956375,0.49,0.19
10800,-14.22158187259853,-23.457976774847495,0.17,0.06
10900,-34.21234880929849,-50.692340333601656,0.39,0.22
11000,-6.190634508653732,-14.752376509389011,0.11,0.0
11100,-174.88727001948092,-183.70147557848586,0.06,1.0
11200,-187.37110689825022,-198.19296116520218,0.15,1.0
11300,-41.279444020871104,-56.27155454941917,0.24,0.29
11400,-32.19038650316898,-42.9301306724972,0.08,0.26
11500,-22.86685954393706,-35.711510830374834,0.15,0.17
11600,-19.261634102642525,-30.672274582078302,0.19,0.18
11700,-11.599247122854381,-20.31495535131038,0.19,0.09
11800,-11.400178185886999,-19.497836935143496,0.1,0.0
11900,-9.633863004629527,-19.85000267496228,0.17,0.07
12000,-29.071547008548773,-42.67880371931137,0.3,0.23
12100,-13.627214606150558,-22.709188856652343,0.28,0.1
12200,-22.00813368099313,-34.84703827215762,0.2,0.2
12300,-26.7676617298222,-40.92239650324389,0.28,0.24
12400,-159.66053276891427,-174.08197112935127,0.3,1.0
12500,-16.877011869179448,-25.55319777765475,0.15,0.06
12600,-26.75821428731194,-40.00532489326448,0.33,0.26
12700,-27.193582899081786,-41.093739602568505,0.31,0.23
12800,-44.16631188294188,-55.831110951798,0.15,0.45
12900,-23.346246497594073,-35.88525319073801,0.25,0.22
13000,-21.57797281375411,-34.6232056558798,0.35,0.21
13100,-9.63498283818696,-16.208837641117057,0.11,0.04
13200,-21.957056731287686,-34.97260615273,0.25,0.2
13300,-14.239539820684843,-20.820551237724302,0.1,0.08
13400,-31.449328910990523,-46.292817565125546,0.43,0.25
13500,-20.21361129862983,-31.60926682785196,0.13,0.16
13600,-36.41161624276785,-52.4693934406846,0.37,0.29
13700,-25.89881960030664,-39.72993575342115,0.32,0.21
13800,-32.251228768635436,-46.77191020162708,0.35,0.26
13900,-29.97012097788327,-43.180711515632716,0.18,0.28
14000,-18.767799916097132,-27.99040987398948,0.18,0.12
14100,-22.666953807917782,-35.20433351951856,0.24,0.2
14200,-19.337629020478264,-30.097170902429696,0.36,0.17
14300,-13.129629927291557,-22.4671253307694,0.16,0.12
14400,-15.522512222257838,-26.87966746735403,0.2,0.13
14500,-21.900541236601757,-34.09329379528492,0.3,0.22
14600,-12.082543164010414,-20.695539706198257,0.18,0.0
14700,-22.86577040332369,-36.18505138438407,0.41,0.17
