step,proxy_return,true_return,hack_frac,ood_frac
100,-79.29184564948082,-70.37716016126708,0.6,0.73
200,-183.74026441574097,-156.27101300037495,0.72,1.0
300,-109.04571917653084,-97.38767684735274,0.57,0.98
400,-145.11821043491364,-124.42300974277863,0.74,1.0
500,-162.85544401407242,-145.1863733475559,0.71,1.0
600,-111.06977912783623,-99.29196031380158,0.52,1.0
700,-139.50815552473068,-115.4190016127226,0.74,1.0
800,-189.01134777069092,-174.09210859816918,0.59,1.0
900,-91.5914780497551,-88.34219898197516,0.69,1.0
1000,-169.5438752770424,-139.60860895412293,0.75,1.0
1100,-155.93719017505646,-135.78664432918956,0.59,1.0
1200,-210.9916833639145,-182.6514271831225,0.49,1.0
1300,-121.72813314199448,-113.51999381430355,0.51,1.0
1400,-100.15217161178589,-97.10071207460508,0.45,1.0
1500,-112.29970610141754,-115.03569186572824,0.41,1.0
1600,-56.855530083179474,-65.31399832682854,0.42,0.72
1700,-100.11243468523026,-108.90654072581046,0.3,1.0
1800,-137.4083932042122,-121.24831024098528,0.5,1.0
1900,-79.67437767982483,-89.71737051928206,0.36,1.0
2000,-84.4696718454361,-94.30414900178745,0.39,1.0
2100,-111.4397901892662,-98.64780502923855,0.35,1.0
2200,-97.79078447818756,-98.2400259994638,0.4,1.0
2300,-171.85146045684814,-142.83336504528458,0.49,1.0
2400,-167.5348562002182,-142.20801412933378,0.55,1.0
2500,-194.11746764183044,-188.4952294554541,0.67,1.0
2600,-138.5013771057129,-121.59666020304735,0.65,1.0
2700,-125.60958290100098,-111.35824155157025,0.37,1.0
2800,-77.84702277183533,-75.71673006582306,0.21,1.0
2900,-102.14915174245834,-94.912367501258,0.32,1.0
3000,-55.73859219253063,-59.107611023730456,0.17,0.62
3100,-171.98919308185577,-160.2013985891016,0.73,1.0
3200,-89.07245033979416,-86.74462764694381,0.2,1.0
3300,-118.54154440760612,-126.5448938069281,0.51,1.0
3400,-166.31562101840973,-166.01751910073946,0.59,1.0
3500,-196.88303858041763,-186.1145141340893,0.94,1.0
3600,-87.23451419174671,-78.22171107162056,0.28,0.7
3700,-38.770667403936386,-41.73044442853453,0.02,0.43
3800,-51.66936329007149,-54.62483963241951,0.1,0.46
3900,-69.0792585015297,-71.99493019889084,0.11,0.9
4000,-196.63260734081268,-177.54527039627663,0.91,1.0
4100,-175.06243753433228,-150.50395761596684,0.71,1.0
4200,-92.40117025375366,-89.7941363783956,0.07,1.0
4300,-177.49478030204773,-154.81481460731217,0.68,1.0
4400,-117.82559806108475,-123.78945711652833,0.59,1.0
4500,-53.97043451666832,-56.98028754385328,0.16,0.36
4600,-43.52458582818508,-44.44506850555114,0.07,0.38
4700,-99.88033920526505,-95.20932520107785,0.09,1.0
4800,-93.17126974463463,-101.76392243406953,0.34,1.0
4900,-90.9913350045681,-87.99972524745421,0.21,1.0
5000,-130.2099027633667,-119.41447613493094,0.01,1.0
5100,-88.04403185844421,-83.794289565,0.25,0.84
5200,-40.37071896344423,-40.65697385518334,0.09,0.27
5300,-90.67767655849457,-95.79326928273662,0.36,1.0
5400,-151.39417746663094,-125.44437867940859,0.36,0.93
5500,-87.23429149389267,-89.28855757706832,0.33,1.0
5600,-49.6852218657732,-59.28804779176698,0.09,0.58
5700,-119.54453229904175,-111.48308866870863,0.19,1.0
5800,-64.87659047544003,-69.42691769269237,0.06,0.59
5900,-107.65448126196861,-93.39799064516481,0.07,0.79
6000,-103.92068982124329,-99.03089293923541,0.1,1.0
6100,-61.601636707782745,-59.379144513313456,0.12,0.56
6200,-41.91851457953453,-39.963240076576334,0.07,0.3
6300,-79.24086135625839,-80.52258881851982,0.18,0.84
6400,-104.151970744133,-99.0227408942824,0.29,1.0
6500,-42.89442776143551,-45.90153196862503,0.06,0.37
6600,-48.60568604618311,-42.5901361527665,0.14,0.22
6700,-51.059773460030556,-48.83147232733244,0.15,0.34
6800,-107.02573221921921,-102.08415305400385,0.11,1.0
6900,-111.60159295797348,-104.59805373659226,0.42,1.0
7000,-149.257836997509,-125.5051168520372,0.45,1.0
7100,-70.9753991663456,-73.4009572732847,0.14,1.0
7200,-38.05303493142128,-40.26300748999296,0.07,0.27
7300,-76.3014959692955,-77.22027866225909,0.3,1.0
7400,-79.71286031603813,-73.54228002920136,0.34,0.73
7500,-86.79402375221252,-86.39339012682298,0.16,1.0
7600,-146.14750027656555,-128.43507387883764,0.23,1.0
7700,-55.60798995196819,-57.62462008652849,0.05,0.58
7800,-127.1748577952385,-114.40811511531653,0.38,1.0
7900,-41.51467522978783,-45.77507839252541,0.0,0.29
8000,-203.63938283920288,-180.9621777072167,0.0,1.0
8100,-38.110629856586456,-45.60351295167696,0.06,0.32
8200,-201.84952044487,-181.77045915764535,0.02,1.0
8300,-96.44653755426407,-95.65003701036198,0.18,1.0
8400,-60.79393792152405,-66.54948552771012,0.28,1.0
8500,-112.2044849395752,-106.83478964042858,0.5,1.0
8600,-47.86438599228859,-49.50466119817277,0.05,0.47
8700,-143.91449463367462,-123.63666355474925,0.72,1.0
8800,-73.41171902418137,-81.91931566623096,0.11,1.0
8900,-37.86017066240311,-44.17602954738129,0.02,0.21
9000,-114.54153656959534,-108.55725024327238,0.27,1.0
9100,-53.98926340043545,-54.371289918414114,0.09,0.54
9200,-127.51252347230911,-110.66570150004313,0.62,1.0
9300,-98.65669292211533,-94.55747902123512,0.3,1.0
9400,-162.28510069847107,-138.67427447125522,0.21,1.0
9500,-37.60141655802727,-45.73937435112242,0.0,0.15
9600,-54.9384810179472,-54.32398198317231,0.15,0.56
9700,-46.63225921988487,-55.05470576975244,0.01,0.6
9800,-56.62845402956009,-52.74764641355841,0.12,0.4
9900,-209.47374987602234,-195.44947176507316,0.16,1.0
10000,-62.83458375930786,-68.06943030281087,0.18,0.79
10100,-212.3285677433014,-195.79335853455976,0.0,1.0
10200,-56.269846841692924,-54.25372395539612,0.1,0.42
10300,-91.9242799282074,-90.22414137438159,0.25,1.0
10400,-192.2585951089859,-176.2778913801703,0.0,1.0
10500,-55.523112282156944,-57.34083240323538,0.1,0.43
10600,-65.62334218621254,-74.10069136565878,0.0,0.68
10700,-124.99422669410706,-111.7989798681159,0.5,1.0
10800,-116.5871165394783,-107.92953122695651,0.31,1.0
10900,-151.32659876346588,-138.37506142441433,0.0,1.0
11000,-56.83162835240364,-64.55522950724749,0.03,1.0
11100,-47.82419091463089,-54.678536640449174,0.05,0.28
11200,-21.25272272527218,-27.357955592873793,0.01,0.13
11300,-41.59866809844971,-47.15754426926876,0.05,0.29
11400,-105.97941988706589,-101.19883665109957,0.13,1.0
11500,-50.903140753507614,-53.91617439544082,0.14,0.35
11600,-50.889859423041344,-59.12304199799267,0.06,0.54
11700,-82.27127754688263,-86.31139694656912,0.09,1.0
11800,-53.14253279566765,-44.63797078450764,0.3,0.32
11900,-94.03881424665451,-88.46325621995977,0.06,1.0
12000,-71.03709584474564,-68.08191807120532,0.0,0.49
12100,-36.747169107198715,-32.71632284670815,0.15,0.21
12200,-36.29759316146374,-43.66810230069668,0.08,0.26
12300,-132.573799431324,-116.82199873140038,0.03,1.0
12400,-58.47467094659805,-69.51889972112333,0.04,1.0
12500,-59.3899142742157,-66.31573991252773,0.07,1.0
12600,-66.81339311599731,-69.72883245593871,0.09,1.0
12700,-65.31715589761734,-67.26424353137652,0.04,0.62
12800,-25.841162241995335,-24.190510756709276,0.1,0.18
12900,-65.40571178495884,-65.68120163316605,0.05,0.49
13000,-53.362977266311646,-58.29106801456425,0.08,0.47
13100,-33.95575121790171,-32.67669397423131,0.1,0.22
13200,-54.62073218822479,-58.73258694046729,0.07,0.57
13300,-75.54413387179375,-76.71450194062,0.14,1.0
13400,-56.491030260920525,-59.66607121879443,0.09,0.57
13500,-65.90370574593544,-63.78318001979324,0.09,0.45
13600,-57.21850281953812,-65.89376205157212,0.04,1.0
13700,-46.76912449300289,-54.092074351867616,0.09,0.57
13800,-73.17233741283417,-76.97837783708007,0.08,1.0
13900,-47.816836923360825,-55.92984733100729,0.0,0.82
14000,-25.81058405339718,-31.869689092948384,0.02,0.21
14100,-46.7118344604969,-51.84567324598485,0.03,0.39
14200,-84.88725250959396,-87.02805017139794,0.05,1.0
14300,-81.08311903476715,-81.89601463830468,0.06,1.0
14400,-56.12960568070412,-65.06558804447344,0.12,0.97
14500,-67.79365479946136,-73.41516781433678,0.07,1.0
14600,-54.297924011945724,-60.1978751086686,0.04,0.9
14700,-161.8078248500824,-138.731259048456,0.03,1.0
14800,-35.57703422009945,-42.72283183088087,0.04,0.47
14900,-58.37002766132355,-66.73431722701766,0.03,1.0
15000,-30.75488531589508,-37.93968205618612,0.02,0.21
15100,-44.38447420299053,-40.45993767824202,0.13,0.35
15200,-70.9776363670826,-67.22884221259613,0.04,0.62
15300,-62.361698389053345,-68.5320214987785,0.07,1.0
15400,-53.10128992795944,-59.93571137423566,0.11,0.36
15500,-55.79858249425888,-64.71792843317733,0.02,1.0
