id,n,stock_mean,stock_std,opt_mean,opt_std,speedup,min_pair,output,notes
i01,3,6.4588,0.0023,3.0470,0.0525,2.120,2.078,MATCH,human_suiteB_nb10
i02,3,6.7017,0.0324,3.0682,0.0139,2.184,2.171,MATCH,human_suiteB_nb10
i03,9,5.5604,0.0346,2.6912,0.0204,2.066,2.039,MATCH,human_suiteB_nb10
i04,3,6.2880,0.0981,2.9116,0.0267,2.160,2.149,MATCH,human_suiteB_nb10
i05,3,10.3735,0.0024,4.8601,0.0135,2.134,2.128,MATCH,fly_2L10M_nb10_50kPE
i06,3,12.8915,0.0243,5.9165,0.0087,2.179,2.171,MATCH,fly_2L10M_nb10_50kPE
i07,3,11.9744,0.0357,5.5093,0.0284,2.174,2.168,MATCH,fly_2L10M_nb10_50kPE
i08,3,11.8278,0.0111,5.4453,0.0085,2.172,2.171,MATCH,fly_2L10M_nb10_50kPE
i09,3,14.6331,0.0691,6.2120,0.0139,2.356,2.343,MATCH,nfcore_50kPE_nb7
i10,3,13.9074,0.0361,5.8939,0.0446,2.360,2.346,MATCH,nfcore_50kPE_nb7
